Name,Type,Popularity,Price,Rating
"Kopke Vinho Tinto, Douro, Portugal",Portuguese Red Blend,"6,669th",13,85
"Ferreira Late Bottled Vintage Port, Portugal",Portuguese Red Blend,"6,712th",33,90
"Barbeito Verdelho, Madeira, Portugal",Port Blend Red,"6,729th",347,
"Kopke Late Bottled Vintage Port, Portugal",Port Blend Red,"6,729th",37,88
"Ramos Pinto Late Bottled Vintage Port, Portugal",Port Blend Red,"6,759th",39,90
"Quinta do Crasto Superior, Douro, Portugal",Portuguese Red Blend,"6,785th",29,90
"Adega Viuva Gomes Tinto, Colares, Portugal",Ramisco,"6,797th",165,89
"W & J Graham's 20 Year Old Tawny Port, Portugal",Port Blend Red,"6,821st",92,92
"Aluado Alicante Bouschet, Lisboa, Portugal",Alicante Bouschet,"6,821st",18,87
"Blandy's Vintage Sercial, Madeira, Portugal",Sercial,"6,838th",448,93
"Croft Late Bottled Vintage Port, Portugal",Port Blend Red,"6,838th",29,87
"Ramos Pinto Duas Quintas Reserva, Douro, Portugal",Portuguese Red Blend,"6,864th",64,90
"Dow's Vale do Bomfim, Douro, Portugal",Portuguese Red Blend,"6,884th",20,87
"W & J Graham's 'Ne Oublie' Tawny Port, Portugal",Port Blend Red,"6,967th",11198,100
"Blandy's Vintage Malmsey, Madeira, Portugal",Malvasia,"6,986th",433,92
"Alves de Sousa Quinta da Gaivosa Tinto, Douro, Portugal",Portuguese Red Blend,"7,195th",68,91
"W & J Graham's 10 Year Old Tawny Port, Portugal",Port Blend Red,"7,211th",51,90
"Quinta do Crasto Roquette & Cazes, Douro, Portugal",Portuguese Red Blend,"7,261st",37,90
"Ramos Pinto Duas Quintas, Douro, Portugal",Portuguese Red Blend,"7,261st",26,89
"Bacalhoa - Caves Alianca 'Quinta da Bacalhoa' Cabernet Sauvignon, Vinho Regional Setubal Peninsula, Portugal",Portuguese Red Blend,"7,326th",48,90
"Quinta de la Rosa Vintage Port, Portugal",Port Blend Red,"7,498th",90,92
"Kopke Colheita White Port, Portugal",Port Blend White,"7,518th",73,92
"Quinta do Infantado Vintage Port, Portugal",Port Blend Red,"7,904th",101,89
"Real Companhia Velha 'Evel' Tinto, Douro, Portugal",Portuguese Red Blend,"7,988th",13,86
"Real Companhia Velha Quinta das Carvalhas 'Carvalhas' Tinto, Douro, Portugal",Portuguese Red Blend,"8,003rd",35,91
"Casa Ferreirinha 'Papa Figos' Tinto, Douro, Portugal",Portuguese Red Blend,"8,033rd",20,87
"Quinta do Passadouro Vintage Port, Portugal",Tinta Barroca - Tinta Roriz - Touriga,"8,033rd",105,91
"Blandy's Vintage Madeira Terrantez, Portugal",Port Blend Red,"8,131st",472,92
"Niepoort Redoma Tinto, Douro, Portugal",Portuguese Red Blend,"4,412th",51,91
"Pocas Junior Colheita Port, Portugal",Port Blend Red,"4,515th",83,91
"Barbeito Frasqueira Verdelho, Madeira, Portugal",Verdelho,"4,603rd",343,93
"Niepoort Batuta Tinto, Douro, Portugal",Portuguese Red Blend,"4,603rd",117,91
"Casa Ferreirinha Reserva Especial, Douro, Portugal",Portuguese Red Blend,"4,603rd",457,92
"Quinta do Vale Meao 'Meandro' Tinto, Douro, Portugal",Portuguese Red Blend,"4,774th",42,90
"D'Oliveiras Sercial Vintage Madeira, Portugal",Sercial,"4,782nd",553,91
"Feist Vintage Port, Portugal",Port Blend Red,"4,782nd",204,85
"Rozes Porto Vintage Port, Portugal",Port Blend Red,"4,869th",81,92
"W & J Graham's 'The Stone Terraces' Vintage Port, Portugal",Port Blend Red,"4,922nd",468,96
"Warre's Quinta da Cavadinha Vintage Port, Portugal",Port Blend Red,"5,101st",73,92
"Barbeito Frasqueira Boal, Madeira, Portugal",Bual (Malvasia Fina),"5,160th",419,92
"Taylor Fladgate 20 Year Old Tawny Port, Portugal",Port Blend Red,"5,271st",79,92
"Dow's Quinta da Senhora da Ribeira Single Quinta Vintage Port, Portugal",Port Blend Red,"5,280th",95,92
"Quinta do Noval Tinto, Douro, Portugal",Portuguese Red Blend,"5,292nd",90,93
"Niepoort Redoma Reserva Branco, Douro, Portugal",Portuguese White Blend,"5,350th",66,92
"Quinta do Crasto 'Crasto', Douro, Portugal",Portuguese Red Blend,"5,380th",22,89
"P+S Prats & Symington Post Scriptum de Chryseia, Douro, Portugal",Portuguese Red Blend,"5,391st",37,90
"Barao de Vilar Colheita Port, Portugal",Port Blend Red,"5,439th",140,89
"Dow's Crusted Port, Portugal",Port Blend Red,"5,497th",46,88
"Calem Colheita Port, Portugal",Port Blend Red,"5,509th",51,91
"Quinta do Crasto Vintage Port, Portugal",Port Blend Red,"5,521st",73,92
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Port Blend Red,"5,521st",387,94
"Croft Quinta da Roeda Vintage Port, Portugal",Portuguese Red Blend,"5,540th",66,91
"Herdade do Mouchao Tinto, Alentejo, Portugal",Port Blend Red,"5,581st",79,87
"Quinta do Vallado Tinto, Douro, Portugal",Portuguese Red Blend,"8,153rd",20,89
"Niepoort Bioma Vinha Velha Vintage Port, Portugal",Port Blend Red,"8,291st",149,94
"Quinta do Vale D. Dona Maria 'Vinha da Francisca', Douro, Portugal",Portuguese Red Blend,"8,346th",117,93
"Blandy's Vintage Verdelho, Madeira, Portugal",Verdelho,"8,442nd",444,92
"Cossart Gordon Bual Vintage, Madeira, Portugal",Bual (Malvasia Fina),"8,467th",472,93
"Herdade do Esporao Private Selection, Alentejo, Portugal",Alicante Bouschet - Aragonez,"8,537th",105,91
"Taylor Fladgate 40 Year Old Tawny Port, Portugal",Port Blend Red,"8,588th",325,94
"Niepoort Tiara Branco, Douro, Portugal",Portuguese White Blend,"8,632nd",55,90
"Quinta do Crasto Touriga Nacional, Douro, Portugal",Touriga Nacional,"8,632nd",97,92
"Quinta do Vesuvio Tinto, Douro, Portugal",Portuguese Red Blend,"8,660th",105,93
"W.J Hart Vintage Port, Portugal",Port Blend Red,"8,660th",206,
"Quinta do Portal Vintage Port, Portugal",Port Blend Red,"8,763rd",90,90
"Joao Portugal Ramos Marques de Borba, Alentejo, Portugal",Portuguese Red Blend,"8,798th",15,88
"Anselmo Mendes 'Parcela Unica' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"8,996th",55,93
"Lancers Rose, Portugal",Portuguese Red Blend,"9,029th",11,81
"Casa Ferreirinha Callabriga, Douro, Portugal",Portuguese Red Blend,"9,119th",37,89
"Herdade da Maroteira Cem Reis Reserva Syrah, Vinho Regional Alentejano, Portugal",Syrah,"9,195th",106,90
"Alexandre de Almeida Hotels Bucaco Branco Reservado, Portugal",Portuguese White Blend,"9,195th",112,92
"Barao de Vilar Maynard's Vintage Port, Portugal",Port Blend Red,"9,195th",88,92
"Quarles Harris Vintage Port, Portugal",Port Blend Red,"9,243rd",123,92
"Ramos Pinto Quinta de Ervamoira Single Quinta Vintage Port, Portugal",Port Blend Red,"9,299th",123,90
